"","Kingdom","Phylum","Colour"
"1","Bacteria","Actinobacteriota","#C9243F"
"2","Eukaryota","Bacillariophyta","#CE1D29"
"3","Bacteria","Bacteroidota","#F39200"
"4","Eukaryota","Cercozoa","#E86C07"
"5","Eukaryota","Chlorophyta","#F2A200"
"6","Bacteria","Cyanobacteria","#EFC800"
"7","Bacteria","Firmicutes","#95C11F"
"8","Eukaryota","Foraminifera","#0094CD"
"9","Eukaryota","Haptista","#63BC6D"
"10","Bacteria","Marinisomatota","#2DB3B4"
"11","Eukaryota","Ochrophyta","#12916C"
"12","Bacteria","Planctomycetota","#007F58"
"13","Bacteria","Proteobacteria","#0094CD"
"14","Bacteria","SAR324","#164194"
"15","Archaea","Thermoplasmatota","#706F6F"
"16","Archaea","Thermoproteota","#383838"
"17","Bacteria","Verrucomicrobiota","#6F286A"
"18","Eukaryota","Myzozoa","#383838"
